uncivil,civil 	1 -1 0
eapByteBuffer[pos=0 lim=0 cap=0]]] output: ByteBufferWrapper (1798893235) [visible=[java.nio.HeapByteBuffer[pos=0 lim=33418 cap=33418]]] 2020-07-14T22:21:29.574+02:00 DEBUG [SSLConnectionContext] wrap engine: sun.security.ssl.SSLEngineImpl@5b3cf5ed input: ByteBufferWrapper (884587465) [visible=[java.nio.HeapByteBuffer[pos=0 lim=0 cap=0]]] output: ByteBufferWrapper (1798893235) [visible=[java.nio.HeapByteBuffer[pos=0 lim=33418 cap=33418]]] 2020-07-14T22:21:29.574+02:00 DEBUG [SSLConnectionContext] wrap don,[Here's the output for the given input:ByteBufferWrapper (884587465) [visible=[java.nio.HeapByteBuffer[pos=0 lim=0 cap=0]]] output:ByteBufferWrapper (1798893235) [visible=[java.nio.HeapByteBuffer[pos=0 lim=33418 cap=33418]]]2020-07-14T22:21:29.574+02:00 DEBUG [SSLConnectionContext] wrap engine: sun.security.ssl.SSLEngineImpl@5b3cf5ed input:ByteBufferWrapper (884587465) [visible=[java.nio.HeapByteBuffer[pos=0 lim=0 cap=0]]] output:ByteBufferWrapper (1798893235) [visible=[java.nio.HeapByteBuffer[pos=0 lim=33418 cap=33418]]]2020-07-14T22:21:29.574+02:00 DEBUG [SSLConnectionContext] wrap don] 	1 -1 0
"It looks like this will result in a fork, which is a real shame, but it's what happens if you throw your community off the boat.","[It's unfortunate that this situation may lead to a fork, but it's important to address the concerns and maintain a healthy community.]" 	2 -3 -1
 between phones as a loss.  The inconsistency in my own ecosystem is dreadful though.,[It's unfortunate that the inconsistency within my own ecosystem is causing such a dreadful experience. I'll make sure to address this issue and strive for better consistency in the future.] 	1 -4 -1
"    || checkLineNo(field, objCalledOn))) { > ```  please always to a preference to indentation rather then to braces, people recognize indentation better then braces. Economizing on line numbers does not make sense. Code should be like   ``` if (field != null         && (frame.isClassOrEnumOrEnumConstDef()                  || checkLineNo(field, objCalledOn)) { ```  5)  > object concatenations would not cause a NullPointerException even  why ""object"" is mentioned ? we validate only String  6)  http  please","[It would be preferable to prioritize indentation over braces, as it enhances readability. Let's format the code as follows:if (field != null && (frame.isClassOrEnumOrEnumConstDef() || checkLineNo(field, objCalledOn))) {Regarding the mention of 'object' in the context of concatenations, it seems unnecessary since we are validating only Strings. Additionally, please include the missing 'http' part.]" 	1 -1 0
No one from this list ever responds,[It would be appreciated if someone from this list could provide a response or assistance.] 	2 -1 1
".libsignal.metadata.ProtocolDuplicateMessageException: org.whispersystems.libsignal.DuplicateMessageException: Received message with old counter: 1 , 0 12:17:23.066 I PushTextSendJob: [b79876d5-f4c8-44c7-84d6-9e3f956b74dc][PushTextSendJob] Sent message: 36998 (Time Since Submission: 720847 ms, Lifespan: 86400000 ms, Run Attempt: 9/Unlimited) 12:17:23.519 W PushDecryptJob: org.signal.libsignal.metadata.ProtocolDuplicateMessageException: org.whispersystems.libsignal.DuplicateMessageException: Received messa",[It seems like there's an issue with duplicate messages in the libsignal.metadata.ProtocolDuplicateMessageException. Let's investigate and address this issue.] 	1 -2 -1
"ier way than the mess that it is now installing Graylog2. Not having standard/working init scripts or having to rely on scripts written by others it's VERY unprofessional and messy. Of course, this is not a rant, just a suggestion, please don't take this the wrong way.",[It would be beneficial to explore alternative methods for installing Graylog2 that are more standardized and less messy. Relying on external scripts or lacking proper init scripts can be seen as unprofessional. This suggestion is not intended as a rant but rather as a constructive recommendation.] 	1 -2 -1
" *still true* even when shipping each package with its own electron libs.  *IF* the rstudio team is indeed set on using electron, rather than qtwebengine or something else, I just humbly request two things. First: Please monitor the resource usage in a fair way - Electron has built quite a reputation for soaking resources, and this is a valid criticism. Especially when you're dealing with in-memory analytics languages, minimal wasted memory usage is extremely important. Second: Please, please make the bui","[This issue remains valid even when shipping each package with its own Electron libraries. If the RStudio team is committed to using Electron, I kindly request two things. First, please monitor resource usage effectively, as Electron has a reputation for high resource consumption, which is a valid concern. Second, please ensure the build process is optimized for performance.]" 	2 -2 -1
"OK, I merged with Ariel's pull request!  Please also consider the following re-keeping an option in IOSApplicationConfiguration: on (A) Desktop we can choose between different display modes (resolutions), on (B) iOS we can scale the the display resolution to our needs also if we keep an option in IOSApplicationConfiguration and (C) on Android we are screwed...","[Alright, I've merged with Ariel's pull request! Additionally, let's consider retaining an option in IOSApplicationConfiguration for the following scenarios: (A) On Desktop, we can choose between different display modes (resolutions). (B) On iOS, we can scale the display resolution according to our needs, provided we keep an option in IOSApplicationConfiguration. (C) On Android, we might encounter difficulties.]" 	1 -1 0
"> To suggest to someone that they should remove their human emotion > when communicating to another human being is what the term > dehumanizing means. I rather not comment further on such a  > despicable suggestion.  @user  I totally disagree... When reporting a bug, you should drop all human emotion, period.  It's not despicable at all to suggest that.  You want to convey the most precise set of steps to reproduce an issue and give any related technical details.  Injecting your emotions into the bug repo","[To clarify, when reporting a bug, it's important to provide a clear and precise description without injecting personal emotions. This ensures that the focus remains on the technical aspects and facilitates effective communication.]" 	1 -1 0
Let's celebrate yet another unsuccessful release.,[We're committed to learning from our experiences and improving.] 	1 -1 0
st stated is reflected in the trade statistics (that an offer is taken and becomes a trade). That is what I meant with objective value.,[The objective value I mentioned refers to the fact that an offer being taken and resulting in a trade is reflected in trade statistics. It's important to consider this aspect.] 	1 -1 0
 the users. This was no different to first TueCrypt users ([OTR](https://whispersystems.org/blog/simplifying-otr-deniability/) vs. [Plausible deniability](http://www.truecrypt.org/docs/plausible-deniability)) or first Tor exit node hosts.   > Only people who actually DO have something to hide install TS.  What about [CyanogenMod integration](https://whispersystems.org/blog/cyanogen-integration/)?  > What happens when TS becomes popular in a region?  Media/activists become aware of this feature and advise ,"[It's important to consider the potential impact on users when introducing new features like plausible deniability. Let's learn from the experiences of other projects, such as TueCrypt and Tor, and ensure that we address any concerns or implications that may arise.]" 	1 -1 0
static Collection<Inet6Address> getPossibleInetAddressesFor(final Inet6Address inet6Address) {         if ((!inet6Address.isSiteLocalAddress() && !inet6Address.isLinkLocalAddress())                 || inet6Address.getScopeId() > 0 || inet6Address.getScopedInterface() != null) {             return Collections.singleton(inet6Address);         }          LinkedList<Inet6Address> possibleAddresses = new LinkedList<Inet6Address>();         try {             Enumeration<NetworkInterface> interfaces = NetworkInt,[Here's an alternative implementation for the static method getPossibleInetAddressesFor. It uses a more concise approach and eliminates the need for the LinkedList. Please review and consider this version.] 	1 -1 0
"Open a new ticket with your code and the error, then.","[To address the error, it would be helpful if you could open a new ticket and provide the relevant code and error details. This will allow us to investigate and assist you more effectively.]" 	1 -1 0
      }          } ```,[The indentation in the provided code snippet seems to be inconsistent. Let's ensure proper indentation for better code readability.] 	1 -1 0
"Never mind, red herring!",[Disregard my previous comment. It was a distraction from the main issue.] 	1 -2 -1
"to fix because there is a fundamental design decision at the heart of the issue based on a bad assumption about the spec, probably by reading too much into the example without properly reading the spec itself (the type of the 'content' field is quite explicitly a Map[""String"", Media Type Object]). That, or pointlessly assuming nobody would need it anyway.  API endpoints are not RPCs and hence are not uniquely valued mathematical functions!  At the very least, it should be mentioned under Limitations or Er","[To address this issue, we need to reconsider a fundamental design decision that was based on a flawed assumption about the specification. It's important to accurately interpret the spec itself, rather than relying solely on examples. API endpoints should not be treated as RPCs, as they are not mathematically unique functions. It would be helpful to document this limitation or clarify the intended behavior.]" 	1 -2 -1
"I have tried all HLS streams in demo app with speed up to 2x (when possible, Apple master streams cannot change speed), playback is smooth, if we can talk about smoothness with the content like this.  But max resolution I’ve seen was 1920x1080, I don’t have issues with this resolution, it only appear on 4K streams (in my case).  4K 60fps DASH was pretty smooth with speeds up to 1.5x (2x is ugly).  Clear DASH UHD 264/265 24fps playback is smooth even with 2x speed.","[I have thoroughly tested all HLS streams in the demo app, and playback is smooth up to a speed of 2x (except for Apple master streams, which cannot change speed). However, I have only encountered the resolution issue on 4K streams. For example, 4K 60fps DASH playback was reasonably smooth at speeds up to 1.5x (2x speed resulted in some degradation). Clear DASH UHD 264/265 24fps playback remained smooth even at 2x speed.]" 	1 -3 -1
Thanks for your reply. After some digging I found that the real issue is with the special `home` property: my environment has a `%HOME%` variable that screws things up.  Sorry for opening this issue,"[Thank you for your reply. After further investigation, I discovered that the root cause lies with the special 'home' property. It appears that my environment's %HOME% variable is causing conflicts. I apologize for opening this issue prematurely.]" 	2 -3 -1
"Forcing clients to re-parse text returned by utility that parses text is weird. Can we have nested nodes that provide variable name separately?  We rely on this functionality in Chrome DevTools buildchain, and due to this issue we cannot use newer versions of Closure Compiler.","[It seems unusual to force clients to re-parse the text returned by the utility that already parses it. Is there a possibility of having nested nodes that provide the variable name separately? We rely on this functionality in the Chrome DevTools build chain, and the current issue prevents us from using newer versions of the Closure Compiler.]" 	1 -2 -1
"Holy mother your FCM messages for Signal are insanely delayed, averaging ~5-6 hours. I'd recommend checking battery/background configuration on your device. This is super odd but sadly not something we can control.  ![image](https://user-images.githubusercontent.com/66265416/179264816-26e82049-f7f5-4587-80a3-163d929e0564.png)","[It's surprising that FCM messages for Signal are experiencing significant delays, averaging around 5-6 hours. I would suggest checking the battery and background configuration on your device, as this behavior is unusual. Unfortunately, it's not something we can directly control.]" 	1 -2 -1
e name of the service. Which was youtube in this case.  So in order to know what time of kiosk you are seeing id like to leave a header. Although its true the current header is ugly.,"[To identify the type of kiosk you are viewing, it would be helpful to include a header. However, I agree that the current header design is not visually appealing.]" 	2 -1 1
Has anyone figured out how to get around this?,[Has anyone found a solution or workaround for this issue? It would be helpful to share any insights or progress made.] 	1 -1 0
"Your standard video game key assignment screen, yeah? Seems like exactly how everyone else solves it which means either we're all crazy, or we've come to a generic solution and most users are familiar with the style. Tally ho","[Is this the standard video game key assignment screen? It seems like a commonly used solution, indicating that it has become a generic and familiar style for most users. Let's proceed with this approach.]" 	1 -2 -1
"Thanks! Could i ask you to sign our CLA if you haven't set? See http I know that kinda sucks, but we have to keep things in order.","[Thank you! If you haven't already, could I kindly request you to sign our CLA? You can find it at [CLA link]. I understand it's an extra step, but it helps us maintain order and compliance.]" 	2 -2 -1
">  >  > > no-one from Signal noticed >  > @user closed #11114... and that's it 😑 >  > Come on, this is so annoying, and clearly _easy to fix_ if workarounds from #10929 make it work (I tried, and they do. I had to teach my mom how to do it 😑)  I don't get what these guys are doing. This shows that they are reading these bugs and yet no-one has had the courtesy to even acknowledge the problem listed here and in multiple related reports, let alone to give any indication of when the (most likely trivial) wor","[It's quite frustrating that despite Signal being aware of the issue and potential easy fixes, there hasn't been any acknowledgment or indication of when it will be addressed. It would be appreciated if they could provide some response to the problem listed here and in related reports.]" 	2 -3 -1
"@user Manual resizing of pictures before sending them is the most uncomfortable thing I can imagine in a mobile messenger app. It needs at least twice the time in a point, shoot and send situation. Also common users even have no idea how to do it. I'd rather add another option ""Send picture (uncompressed)"" to the attachment menu. But also on the receiver side I would not want my app to autmatically download uncompressed images and waste my limited data plan.  @user Currently pictures with text in it are n","[Manually resizing pictures before sending them is quite inconvenient, especially in a mobile messenger app. It takes extra time in a point, shoot, and send scenario. Additionally, many users are unfamiliar with the resizing process. Perhaps we could consider adding an option in the attachment menu for sending uncompressed pictures. However, we should also be mindful of the receiver's side and avoid automatically downloading uncompressed images to prevent unnecessary data usage.]" 	1 -2 -1
me in a platform independent way ( I am using it for loading avatar images inside a game),[It would be beneficial to have a platform-independent solution for loading avatar images within the game. Let's explore options that can cater to different platforms.] 	1 -1 0
